mu,gamma1,gamma2,gamma3,gamma4,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20
0.0954772,0.36744868378602963,0.42512520357826683,0.517412996979706,0.5603675607776354,0.6177786273407421,0.6477841765958646,0.6558766968975789,0.5698362180932233,0.6580689671962836,0.6634628007795934,0.6562206153892034,0.5653051130074528,0.6523501812584653,0.6559059146571165,0.6493971804502404,0.5516877457061149,0.6530745849608759,0.653109419264356,0.6404354568929826,0.5501437281878597
0.101164,0.3460264026426464,0.39948762409776367,0.48653789984082896,0.5280472863848626,0.5810999370854047,0.6090872127840739,0.6171492002293526,0.5380222673296718,0.6191102385499541,0.6239967473646203,0.6173137788778886,0.53378339561015,0.6137320671356545,0.6164061484165458,0.6108642302496808,0.5209199247371197,0.6141845124470805,0.613904915410833,0.6023096919588757,0.5194169089226152
0.107189,0.3258929538642875,0.37545031306810395,0.45756007824164846,0.4975787849253335,0.5466651188504044,0.5727777459321394,0.5808222904558275,0.5079704298151368,0.5825764799580687,0.5869785620360352,0.5808249760655351,0.5039978845967735,0.5775038916252457,0.579480576095335,0.5747057024585338,0.4918322700608978,0.5777040363855187,0.5771340878088498,0.5665528542148023,0.490372509139913
0.113573,0.3069767001185914,0.35294231799983106,0.43039297061855364,0.46889867130851215,0.5143669503488619,0.5387066133130047,0.5467622752909967,0.4796079677299744,0.5483483149738548,0.5522602851736627,0.5466356860893575,0.4758812727590217,0.5435537726487322,0.5448493551215541,0.5408159158483008,0.464379832743053,0.5435243660967782,0.5426866029374837,0.5330580718075435,0.4629646065889355
0.120338,0.28919933004747594,0.33186175223588493,0.404912653715988,0.44189633755010094,0.4840607770698137,0.506766967126077,0.5148274498134652,0.4528445266668232,0.5162662080679591,0.519702505999995,0.514584654160284,0.449352275359465,0.5117200481304072,0.5123481018940574,0.5090318649639757,0.43846888728080885,0.5114774193538119,0.5104040562851664,0.501665451928458,0.4370966188530567
0.127505,0.27247601130712856,0.3120574519252555,0.38095235872739397,0.4164135976846348,0.45555612125228356,0.47675560596968586,0.4848043373528836,0.4275454628591484,0.48611266298172273,0.4890931794422545,0.48445912488901904,0.42425285534299834,0.481792121706719,0.48191954372632234,0.4791535825241114,0.41395857654681,0.4813680190339871,0.4801007123716004,0.47215772643030973,0.41263114547337093
0.135099,0.25675428120264426,0.29349531805668205,0.358465670917437,0.392418015739662,0.4287920707580631,0.4485769823091022,0.45662702909449027,0.40366740080622304,0.45781977405887975,0.4603675993272591,0.4561938648317544,0.4005664897282649,0.45370645376127083,0.453314783709091,0.4511057772055833,0.39082836576435775,0.45311068595685094,0.451667225796877,0.4444779752198544,0.38954867724184167
0.143146,0.2419630755185826,0.27606454104207706,0.33732312410240484,0.3697862652047047,0.40362055094052485,0.42211219485733065,0.4301328957536162,0.38110749291660595,0.43122402537889093,0.4333503125484419,0.4296247003025325,0.3781820787223069,0.427300553400533,0.42644548316074504,0.42474147690387365,0.36896536519234807,0.42655880943623986,0.4249573833330024,0.4184637406414251,0.3677265313205961
0.151672,0.22805222260345331,0.2597152150719324,0.3174684531457187,0.34846761189921727,0.3799711655404358,0.39728226801065636,0.4052527553618822,0.35982433195171304,0.4062520129735422,0.40799832789275153,0.40467579342523335,0.35706410877083733,0.4025014863806878,0.40129372079360454,0.39998128484320467,0.34833637910225784,0.40163626466517854,0.39991321876442965,0.39404249101312666,0.3471419537031993
0.160705,0.21496325446854808,0.24436553417881254,0.29880303724276747,0.3283705821465465,0.35772969464201954,0.37393381428751804,0.3818593208958568,0.33972622662360946,0.3827752431153919,0.384161538501824,0.38122589647357535,0.33711771651576394,0.3791863170164854,0.3776191515357495,0.37670848835400345,0.32885773096281784,0.37821678147969406,0.3763935333205393,0.37109509033677707,0.3277062850742567
0.170277,0.20264316866112042,0.2299369409689993,0.2812381439817781,0.30940977630964095,0.3367933232207323,0.35199414710767185,0.35984268776131323,0.3207373627852686,0.3606823953085217,0.36175496105014965,0.3591612944436215,0.31826684362030305,0.3572446994147057,0.35549014223940284,0.35481218323491226,0.3104514511917433,0.3561901649101362,0.3542942962516514,0.34950824946710507,0.309343310753367
0.180419,0.191053975096312,0.21640262480835806,0.2647425234808907,0.2915594300655676,0.31712031301686044,0.3313833810641725,0.3391616612421558,0.3028382974022236,0.3399339713568869,0.3407132127868072,0.33844080428470136,0.3004987766947554,0.3366369282374496,0.33463850140102464,0.3342524089714728,0.29310124729493037,0.33551491979309056,0.33356223303858445,0.3292436107559013,0.29203412866966777
0.191164,0.18012751852100062,0.20363035977441415,0.2491644374813402,0.2746657403297972,0.2985426675494916,0.31194727917381054,0.31962708477011265,0.2858686647102792,0.3203362669314755,0.3208621083059869,0.31887300891283066,0.28365485378198635,0.31717244773478587,0.3150010883423341,0.3148400891715952,0.2766571635460389,0.3160021842429682,0.3140168792200776,0.310112582310806,0.2756335991979333
